Descriptions,Category,Type,Status,Currency_
OTHER - COS,,Cost of sales,Active,KES
OVERHEAD - COS,,Cost of sales,Active,KES
SUBCONTRACTORS - COS,,Cost of sales,Active,KES
FUEL,,Cost of Sales,Active,KES
PAYROLL EXPENSES,,Expenses,Active,KES
GROSS SALARY,,Expenses,Active,KES
NSSF-EMPLOYER CONTRIBUTION,,Expenses,Active,KES
OTHER PAYABLES NSSF,,Expenses,Closed,KES
OTHER PAYABLES NHIF,,Expenses,Closed,KES
OTHER PAYABLES PAYE,,Expenses,Closed,KES
PENSION - EMPLOYER CONTRIBUTION,,Expenses,Active,KES
NITA - EMPLOYER CONTRIBUTION,,Expenses,Active,KES
HOUSING - EMPLOYER CONTRIBUTION,,Expenses,Active,KES
FRINGE BENEFIT,,Expenses,Active,KES
ADMIN COST,,Expenses,Active,KES
ADVERTISING/PROMOTIONAL,,Expenses,Active,KES
MAINTENANCE,,Expenses,Active,KES
MAINTENANCE/OFFICE,,Expenses,Active,KES
STAFF WELFARE & MEDICAL,,Expenses,Active,KES
MPESA CHARGES,,Expenses,Active,KES
OTHER TYPES OF EXPENSES-ADVERTISING EXPENSES,,Expenses,Active,KES
POSTAGE,,Expenses,Active,KES
TRANSPORT,,Expenses,Active,KES
AMORTISATION EXPENSE,,Expenses,Active,KES
BAD DEBTS,,Expenses,Active,KES
BANK CHARGES,,Expenses,Active,KES
COMMISSIONS AND FEES,,Expenses,Active,KES
EQUIPMENT RENTAL,,Expenses,Active,KES
INCOME TAX EXPENSE,,Expenses,Active,KES
INSURANCE - GENERAL,,Expenses,Active,KES
INSURANCE - LIABILITY,,Expenses,Active,KES
LEGAL AND PROFESSIONAL FEES,,Expenses,Active,KES
"LOSS ON DISCONTINUED OPERATIONS, NET OF TAX",,Expenses,Active,KES
MEALS AND ENTERTAINMENT,,Expenses,Active,KES
OFFICE EXPENSES,,Expenses,Active,KES
OTHER GENERAL AND ADMINISTRATIVE EXPENSES,,Expenses,Active,KES
STATIONERY AND PRINTING,,Expenses,Active,KES
UNCATEGORISED EXPENSE,,Expenses,Active,KES
OTHER SELLING EXPENSES,,Expenses,Active,KES
RENT OR LEASE PAYMENTS,,Expenses,Active,KES
REPAIRS AND MAINTENANCE,,Expenses,Active,KES
SHIPPING AND DELIVERY EXPENSE,,Expenses,Active,KES
PURCHASES,,Expenses,Active,KES
SUPPLIES,,Expenses,Active,KES
TRAVEL EXPENSES - GENERAL AND ADMIN EXPENSES,,Expenses,Active,KES
TRAVEL EXPENSES - SELLING EXPENSES,,Expenses,Active,KES
UNAPPLIED CASH BILL PAYMENT EXPENSE,,Expenses,Active,KES
UTILITIES,,Expenses,Active,KES
MOTOR VEHICLE RUNNING,,Expenses,Active,KES
COMPUTERS - DEP,,Expenses,Active,KES
COMPUTERS  SOFTWARE - DEP,,Expenses,Active,KES
FURNITURE AND FIXTURE- DEP,,Expenses,Active,KES
FREEHOLD BUILDINGS-DEP,,Expenses,Active,KES
MOTOR VEHICLES - DEP,,Expenses,Active,KES
OFFICE EQUIPMENT -DEP,,Expenses,Active,KES
PLANT & MACHINERY - DEP,,Expenses,Active,KES
AUDIT AND PROFFESIONAL FEE,,Expenses,Active,KES
BONUS,,Expenses,Active,KES
GRATUITY,,Expenses,Active,KES
MOBILE,,Expenses,Active,KES
INTERNET AND EMAIL,,Expenses,Active,KES
GENERATOR RUNNING EXPENSE,,Expenses,Active,KES
580010.0,,Other Current Assets,Active,KES
731610.0,,Other Current Assets,Active,KES
xxx,,Debtors,Active,KES
SUSPENSE,,Other Current Assets,Active,KES
WITHHOLDING VAT AC,,Other Current Liabilities,Active,KES
